""	"Basal"	"Her2"	"LumA"	"LumB"	"Normal"	"Call"	"Confidence"	"ROR-S (Subtype Only)"	"ROR-S Group (Subtype Only)"	"Proliferation Score"	"ROR-P (Subtype + Proliferation)"	"ROR-P Group (Subtype + Proliferation)"	"ER"	"Her2"
"S24"	"0.242835432045158"	"-0.525293095961789"	"0.294615718627877"	"-0.742184107685627"	"0.784520191055145"	"Normal"	"1"	"10.0514878718296"	"low"	"-0.531415053089746"	"8.10115257101293"	"low"	"-1.39657709758943"	"-0.749877031109675"
"S25"	"0.0289555822328932"	"-0.614597839135654"	"0.49234093637455"	"-0.645426170468187"	"0.910492196878751"	"Normal"	"1"	"1.10379002505473"	"low"	"-0.705845763780306"	"-1.20110289579039"	"low"	"0.00645672860581635"	"-1.23891332628942"
"S26"	"0.224009603841537"	"-0.498391356542617"	"0.242833133253301"	"-0.800432172869148"	"0.883697478991597"	"Normal"	"1"	"11.5253868816609"	"low"	"-0.640055946931274"	"4.23719375468677"	"low"	"-1.40502462248477"	"-1.01009025069937"
"S27"	"-0.67265306122449"	"0.0298979591836735"	"0.472244897959184"	"0.425204081632653"	"-0.173571428571429"	"LumA"	"1"	"25.817022152581"	"med"	"-0.257711755508788"	"28.412454351095"	"med"	"2.48246138507146"	"0.369208411048857"
"S28"	"-0.631938775510204"	"0.302142857142857"	"0.434591836734694"	"0.433265306122449"	"-0.243163265306122"	"LumA"	"1"	"31.7073497584634"	"med"	"-0.372396922580982"	"26.5262912854512"	"med"	"1.49902516749233"	"2.5791269193491"
"S29"	"0.219783913565426"	"-0.469387755102041"	"0.250612244897959"	"-0.766434573829532"	"0.883505402160864"	"Normal"	"1"	"12.1758707203729"	"low"	"-0.444961077549271"	"12.3538119300515"	"med"	"-1.72460130524533"	"-1.00385335023047"
"S30"	"-0.418979591836735"	"-0.379081632653061"	"0.706326530612245"	"-0.116530612244898"	"0.413469387755102"	"LumA"	"1"	"2.31286319855942"	"low"	"-0.589697233487136"	"6.06692391391197"	"low"	"0.299950303717753"	"-0.558415605876147"
"S31"	"-0.0541850557588498"	"-0.404908288608505"	"0.390214036199325"	"-0.567208347336284"	"0.566340978270464"	"Normal"	"1"	"9.30894199007143"	"low"	"-0.526500351865266"	"9.25557858866337"	"low"	"-0.176516307826986"	"0.277259565890269"
"S32"	"-0.066734693877551"	"-0.526326530612245"	"0.63"	"-0.643163265306122"	"0.836428571428571"	"Normal"	"1"	"-3.74413070696278"	"low"	"-0.820590271373068"	"-6.56923209816116"	"low"	"0.15413445624407"	"0.649461916635264"
"S33"	"-0.533157262905162"	"0.28672268907563"	"0.170516206482593"	"0.4215606242497"	"-0.182328931572629"	"LumB"	"1"	"42.7216297303863"	"med"	"0.263136325013907"	"54.5880964895795"	"high"	"2.85895845769578"	"-0.568805352831652"
"S34"	"-0.319471788715486"	"-0.337719087635054"	"0.53421368547419"	"-0.195294117647059"	"0.347995198079232"	"LumA"	"1"	"9.23005849479556"	"low"	"-0.446887981310165"	"13.5496636839232"	"med"	"3.24491944883761"	"0.67013096202719"
"S35"	"-0.419796484736355"	"-0.42645698427382"	"0.557446808510638"	"-0.0749306197964847"	"0.125254394079556"	"LumA"	"1"	"8.48117866572347"	"low"	"-0.605143971538087"	"6.97410159625561"	"low"	"1.43451603431885"	"-0.13725471733123"
"S36"	"-0.546428571428571"	"0.000204081632653061"	"0.450510204081633"	"0.396530612244898"	"-0.154897959183673"	"LumA"	"1"	"26.4282312465786"	"med"	"-0.118323595680827"	"33.7847509772374"	"med"	"2.04468346633864"	"0.970906119941852"
"S37"	"-0.494542090656799"	"-0.379833487511563"	"0.716312056737588"	"-0.201603453592353"	"0.310761640456368"	"LumA"	"1"	"0.0910796502149444"	"low"	"-0.772213485415927"	"-1.80531403285828"	"low"	"0.366463654497304"	"0.890969095889081"
"S38"	"-0.632172869147659"	"0.0787995198079232"	"0.322641056422569"	"0.431836734693878"	"-0.174453781512605"	"LumB"	"1"	"33.0472918055505"	"med"	"0.116822885255711"	"45.4353122605689"	"med"	"2.03056136700445"	"-0.457952814146761"
"S39"	"-0.658167063024355"	"-0.0381281663535195"	"0.658263103745648"	"-0.0283320127815825"	"0.0989699632929517"	"LumA"	"1"	"9.5961029302799"	"low"	"-0.579502193407088"	"10.3261205816113"	"low"	"1.7312862944376"	"1.58433373067095"
"S40"	"-0.260888355342137"	"-0.496278511404562"	"0.797647058823529"	"-0.409075630252101"	"0.66530612244898"	"LumA"	"1"	"-7.30036830432879"	"low"	"-0.87942538572092"	"-9.16398434786487"	"low"	"1.64654895710697"	"1.52186281883787"
"S41"	"-0.184153661464586"	"-0.176758703481393"	"0.33109243697479"	"0.0981992797118848"	"0.158895558223289"	"LumA"	"0.98"	"25.5888754583433"	"med"	"-0.0906943333320107"	"33.0089109969862"	"med"	"2.13105811063816"	"-0.987369706981559"
"S42"	"-0.217761332099907"	"-0.109466543324083"	"0.140178846746839"	"-0.0426148627813753"	"0.196916435399322"	"Normal"	"0.81"	"31.9688149941775"	"med"	"-0.110294077933645"	"34.0996879897011"	"med"	"-1.03119858564182"	"-0.406734889845942"
"S43"	"-0.0480612244897959"	"-0.351224489795918"	"0.462755102040816"	"-0.624897959183673"	"0.719081632653061"	"Normal"	"1"	"6.15490807611045"	"low"	"-0.724587529362526"	"0.656370109221626"	"low"	"-0.533447439817348"	"1.41622531301355"
"S44"	"0.270588235294118"	"-0.598655462184874"	"0.314765906362545"	"-0.721488595438175"	"0.910300120048019"	"Normal"	"1"	"8.62370974247582"	"low"	"-0.60060317447118"	"4.63978852339254"	"low"	"-0.282011150487577"	"-1.20114151177866"
"S45"	"-0.533673469387755"	"-0.329285714285714"	"0.806938775510204"	"-0.116326530612245"	"0.268469387755102"	"LumA"	"1"	"-1.69220616134453"	"low"	"-0.878059752426401"	"-6.12405582018375"	"low"	"1.38775624145928"	"0.220343737565802"
"S46"	"-0.48230568823274"	"-0.250651324359531"	"0.78419452887538"	"-0.124077290490664"	"0.361810681719496"	"LumA"	"1"	"0.528783112308751"	"low"	"-1.06623576255315"	"-12.7737180865539"	"low"	"1.65919386895131"	"1.1670159567041"
"S47"	"-0.301020408163265"	"0.415918367346939"	"0.170612244897959"	"-0.105510204081633"	"0.0211224489795918"	"Her2"	"1"	"36.948952860024"	"med"	"-0.308051040625102"	"29.8063542033896"	"med"	"-1.07817864218786"	"4.79949333577695"
"S48"	"-0.280408163265306"	"-0.39469387755102"	"0.713061224489796"	"-0.256224489795918"	"0.429081632653061"	"LumA"	"1"	"0.155176419087636"	"low"	"-0.737617236880011"	"-0.852706681317813"	"low"	"0.893671215032469"	"-0.181275419738794"
"S49"	"-0.674081632653061"	"-0.0554081632653061"	"0.696734693877551"	"0.157448979591837"	"0.107040816326531"	"LumA"	"1"	"10.7755825773109"	"low"	"-0.394683820379105"	"18.195434125997"	"med"	"2.38600298398167"	"0.665548817445274"
"S50"	"-0.00944326990838619"	"0.00789288231148696"	"0.0336856941508104"	"-0.394080338266385"	"0.127977448907681"	"Normal"	"0.59"	"33.2594498611284"	"med"	"-0.283030957737253"	"27.3050979908299"	"med"	"-1.34448851154345"	"1.38194859673681"
"S51"	"-0.347641073080481"	"-0.283502929386371"	"0.596299722479186"	"-0.0669133518347209"	"0.285353068146778"	"LumA"	"1"	"9.45874928508462"	"low"	"-0.591786417398459"	"8.27409051039971"	"low"	"1.28819905247852"	"1.63710532220682"
